bw,a,d,f 'c,p,Ef ,Ec,Vcf
300,1323.0,441,43.3,3.65,66.0,32.0,240.0
300,1485.0,594,37.0,0.43,144.0,28.74,112.9
229,904.0,226,36.3,1.11,40.3,39.9,76.95
250,1150.0,460,42.4,0.22,144.0,30.6,70.3
150,1000.0,250,34.3,1.51,105.0,39.0,73.0
152,913.5,225,79.6,1.66,40.3,41.93,33.5
1000,1000.14,158,40.0,2.63,40.0,29.73,168.0
457,1224.0,360,42.3,1.92,40.5,30.57,137.0
178,904.0,226,36.3,1.42,40.3,39.9,56.22
279,913.5,225,36.3,1.81,40.3,28.32,45.9
1000,998.25,165,40.0,0.78,114.0,29.73,167.0
150,625.0,250,30.5,2.11,94.0,94.0,120.0
250,1000.82,326,43.6,1.71,134.0,31.03,124.5
89,909.48,143,81.4,0.47,139.0,42.4,8.8
279,913.5,225,36.3,1.81,40.3,28.32,46.1
150,625.0,250,33.1,1.1,94.0,94.0,89.0
300,1323.0,441,48.3,3.65,66.0,32.0,252.0
114,911.4,294,59.7,0.59,40.8,36.31,15.2
159,909.45,141,61.8,0.58,139.0,36.95,23.1
300,1250.0,500,29.5,1.07,100.0,30.0,370.0
200,801.0,225,40.5,0.5,145.0,29.91,47.0
150,806.0,260,42.2,3.08,63.0,53.0,60.0
250,896.0,280,34.8,3.43,56.0,27.73,113.0
150,990.0,220,30.0,0.77,25.1,25.74,23.75
279,904.0,226,36.3,1.81,40.3,39.9,91.9
130,1150.1,310,34.1,1.54,120.0,27.45,55.9
203,913.92,224,79.6,2.55,40.3,41.93,48.3
203,904.0,226,79.6,1.25,40.3,46.1,60.72
300,1318.4,412,43.3,3.25,46.0,51.0,301.0
229,913.92,224,36.3,2.27,40.3,28.32,43.5
250,775.0,310,34.5,0.42,144.0,29.65,64.6
150,625.0,250,37.6,0.55,94.0,94.0,82.0
150,750.0,250,34.3,3.02,105.0,100.0,126.0
1000,1000.11,159,40.0,1.7,40.0,29.73,142.0
250,1000.82,326,43.6,1.7,42.0,31.03,77.5
